Exp Name,LDS Utilized,CUs Utilized,Exec Time us,Kernel Execution Time (s),Total Cycles,Total Instructions,Average CPI,Average IPC,L1 Data Average Latency,L1 Inst Average Latency,L2 Average Latency,L1 Data Hits,L1 Data Misses,L2 Hits,L2 Misses,L1 Hit Rate (%),L1 Miss Rate (%),L2 Hit Rate (%),L2 Miss Rate (%),DRAM Total Reads,DRAM Total Writes,DRAM Traffic,DRAM Bandwidth,DRAM Average Read Time (cycles),DRAM Average Write Time (cycles)
ntt_32,256,120,4.63,0.00000463,6942,204800,4.067578125,0.245846538,0.000000158,0.0000000235,0.000000161,2816,8208,0,8215,25.54426705,74.45573295,0,100,1050048,1050092,2100140,453789974071,151.2601556,151.2664938
intt_32,256,120,4.64,0.00000464,6960,205824,4.05783582,0.24643678,0.000000157,0.0000000236,0.000000161,2816,8208,0,8215,25.5442671,74.4557329,0,100,1050048,1050096,2100144,452620000000,150.868966,150.875862
point_mult_32,256,120,2.1185,0.0000021185,3177.75,82944,4.597439236,0.1087561954,0.0000001179610313,0.00000001902325,0.0000001199705625,5888,10256,4096,8204,36.47175421,63.52824579,33.30081301,66.69918699,0,0,0,0,0,0
scalar_mult_32,256,120,1.6995,0.0000016995,2549.25,29696,10.30138739,0.04853715145,0.00000009790571875,0.000000018284125,0.00000009915871875,7920,4128,4096,4104,65.73705179,34.26294821,49.95121951,50.04878049,0,0,0,0,0,0
point_add_32,256,120,2.1195,0.0000021195,3179.25,82944,4.599609375,0.1087048832,0.0000001181871953,0.000000019143125,0.0000001200615938,5888,10256,4096,8204,36.47175421,63.52824579,33.30081301,66.69918699,0,0,0,0,0,0
point_sub_32,256,120,2.1195,0.0000021195,3179.25,82944,4.599609375,0.1087048832,0.0000001180678516,0.000000019051875,0.0000001199189375,5888,10256,4096,8204,36.47175421,63.52824579,33.30081301,66.69918699,0,0,0,0,0,0
rotate_32,256,120,1.8575,0.0000018575,2786.25,58368,5.728310033,0.08728577838,0.00000005214370313,0.00000001823775,0.00000004047115625,4011,4231,1,4106,48.66537248,51.33462752,0.024348673,99.97565133,0,0,0,0,0,0
ntt_64,512,120,7.34,0.00000734,11014.5,279552,4.728064904,0.2115030187,0.0000001,0.0000000148,0.0000000986,9756,25844,16403,16429,27.40449438,72.59550562,49.96040448,50.03959552,1574720,1575796,3150516,429050251941,142.9679059,143.0655954
intt_64,512,120,7.11,0.00000711,10657.5,263168,4.85963339,0.20577684,0.000000157,0.0000000211,0.00000016,2816,16400,6,16412,14.6544546,85.3455454,0.03654526,99.9634547,1574656,1050384,2625040,369460000000,147.750973,98.5581985
point_mult_64,512,120,2.926,0.000002926,4389,99328,5.302432345,0.09429634693,0.0000000843020625,0.000000012762375,0.00000008783521875,8362,38502,23632,16396,17.84312052,82.15687948,59.03867293,40.96132707,0,0,0,0,0,0
scalar_mult_64,512,120,2.0225,0.0000020225,3033.75,32768,11.10992432,0.04500480703,0.00000009785920313,0.00000001821425,0.000000098999625,9856,9360,8192,8200,51.29059117,48.70940883,49.97559785,50.02440215,0,0,0,0,0,0
point_add_64,512,120,2.9275,0.0000029275,4391.25,99328,5.305150612,0.09424803112,0.00000008405000781,0.000000012912875,0.00000008798309375,8648,38216,23569,16396,18.45339706,81.54660294,58.97410234,41.02589766,0,0,0,0,0,0
point_sub_64,512,120,2.9275,0.0000029275,4391.25,99328,5.305150612,0.09424803112,0.00000008409336719,0.000000012936875,0.00000008806365625,8651,38213,23463,16396,18.45979857,81.54020143,58.86499912,41.13500088,0,0,0,0,0,0
rotate_64,512,120,2.6875,0.0000026875,4031.25,69632,6.947236903,0.07197105943,0.00000004749430469,0.000000017181375,0.00000003907509375,2941,8327,1,8206,26.10046148,73.89953852,0.01218472036,99.98781528,0,0,0,0,0,0
